field_key,stem_degree,stem_discriminant,closure_degree,closure_discriminant,ramification_support,galois_group,manifolds
x^5 - x^4 + 2*x^3 - x^2 + x + 2,5,17161,10,-38579489651,131,D5,o10_145193
x^4 - x^3 - 4*x^2 - 3*x + 3,4,-9687,24,682765545049958097100686386581725733584118275681,"3,3229",S4,o10_139994
x^4 - 2*x^2 - 1,4,-1024,8,4194304,2,D4,"o10_140793,o10_140794,o10_140795"
x^4 - x^3 + x^2 + 2*x - 2,4,-2488,24,56260619790542082929987973671407379808256,"2,311",S4,"o10_141189,o10_141190,o10_141191"
x^4 - x + 2,4,2021,24,4642968766819956054830027696645588690641,"43,47",S4,o10_141689
x^6 - 2*x^5 + 2*x^4 - 4*x^3 + 2*x^2 - 4*x + 1,6,242000,36,2582048322566910402812140847104000000000000000000,"2,5,11",S3 x S3,o10_142616
x^4 - 2*x^3 + 5*x^2 - 4*x + 2,4,1088,8,342102016,"2,17",D4,"o10_143343,o10_143344,o10_143345"
x^4 - x^3 + x^2 - x + 2,4,1396,24,213985848982356353666984793263374336,"2,349",S4,"o10_143719,o10_143720"
x^4 - 2*x^3 - x^2 + 6,4,3648,8,43237380096,"2,3,19",D4,"o10_143783,o10_143784"
x^6 - x^5 + 7*x^4 - 7*x^3 + 15*x^2 - 8*x + 10,6,-2280100,48,331258194906987095044696316000505380700762448850235022114816000000000000000000000000,"2,5,151",C2 x S4,"o10_143848,o10_143849"
x^6 + x^4 + 5*x^2 + 1,6,-173056,48,2955288494551993780509767928735749197546840512122487383339466489856,"2,13",C2 x S4,"o10_145053,o10_145054,o10_145055,o10_145056,o10_145057,o10_145058"
x^6 + x^4 - 2*x^3 + x^2 - x + 2,6,-149683,48,5054651446477067579395107543680656450338408029152411015761757030925793334712928961,"43,59",C2 x S4,"o10_145736,o10_145737"
x^6 - x^5 + 2*x^4 + 2*x^3 + 4*x^2 - 4*x + 8,6,-1845616,48,1230372127406075800839429166123104114916674321442598195523691023115219304359469138767475900416,"2,31,61",C2 x S4,"o10_146244,o10_146245,o10_146246,o10_146247,o10_146248,o10_146249"
