filling,word,length_letters,exp_a,exp_b,h_pmns_mod5,tr_re,tr_im,tr2_re,tr2_im,complex_length_re,twist_rad,twist_deg,abs_tr
m003(cusp),AAbaBB,6,-1,-1,,0.50000000000000000000000000000000000,6.0621778264910705273460621952705533,-36.500000000000000000000000000000000,6.0621778264910705273460621952705533,3.6622767501472215579603845219636849,2.9852130979188691212602018447620983,537.33835762539644182683633205717769/pi,6.0827625302982196889996842452020671
m003(cusp),AAbabb,6,-1,3,,0.50000000000000000000000000000000000,-0.86602540378443864676372317075293618,-0.50000000000000000000000000000000000,-0.86602540378443864676372317075293618,0.86255462766206103218569279447502386,-2.6806731878491247967891366373024864,-482.52117381284246342204459471444755/pi,1.0000000000000000000000000000000000
m003(cusp),AAbbAB,6,-3,1,,4.5000000000000000000000000000000000,-7.7942286340599478208735085367764256,-40.500000000000000000000000000000000,-70.148057706539530387861576830987831,4.4070111228213607167887041655648552,-2.1153827974270050629445850149523678,-380.76890353686091133002530269142621/pi,9.0000000000000000000000000000000000
m003(cusp),AAbbAb,6,-3,3,,-6.0000000000000000000000000000000000,-6.9282032302755091741097853660234895,-12.000000000000000000000000000000000,83.138438763306110089317424392281874,4.4346209991317557957688956103269312,1.7375789572844228220753567418014388,312.76421231119610797356421352425898/pi,9.1651513899116800131760943874560170
m003(cusp),AAbbaB,6,-1,1,,-2.0000000000000000000000000000000000,6.9282032302755091741097853660234895,-44.000000000000000000000000000000000,-27.712812921102036696439141464093958,3.9833047820988736481379933505718539,-2.5990651461377516416067954700730032,-467.83172630479529548922318461314058/pi,7.2111025509279785862384425349409919
m003(cusp),AAbbab,6,-1,3,,0.50000000000000000000000000000000000,-0.86602540378443864676372317075293618,-0.50000000000000000000000000000000000,-0.86602540378443864676372317075293618,0.86255462766206103218569279447502386,-2.6806731878491247967891366373024864,-482.52117381284246342204459471444755/pi,1.0000000000000000000000000000000000
m003(cusp),AAbbbb,6,-2,4,,9.5000000000000000000000000000000000,-12.990381056766579701455847561294043,-78.500000000000000000000000000000000,-246.81724007856501432766110366458681,5.5592047138263644926943885212895673,-1.8860613025803507653548363982352280,-339.49103446446313776387055168234103/pi,16.093476939431081186849991266835717
m003(cusp),ABABAb,6,-3,-1,,5.5000000000000000000000000000000000,2.5980762113533159402911695122588085,23.500000000000000000000000000000000,28.578838324886475343202864634846894,3.5771343837743353818744572656285665,0.92657245454743585819177612144901949,166.78304181853845447451970186082351/pi,6.0827625302982196889996842452020671
m003(cusp),ABABBB,6,-2,-4,,-0.50000000000000000000000000000000000,2.5980762113533159402911695122588085,-6.5000000000000000000000000000000000,-2.5980762113533159402911695122588085,2.1741402899914781995705456024769349,-2.8376484074394058271170020242991452,-510.77671333909304888106036437384614/pi,2.6457513110645905905016157536392604
m003(cusp),ABABaB,6,-1,-3,,3.5000000000000000000000000000000000,-0.86602540378443864676372317075293618,11.500000000000000000000000000000000,-6.0621778264910705273460621952705533,2.4188381041223773680818129182188335,-0.57519303111306333211885883958893268,-103.53474560035139978139459112600788/pi,3.6055512754639892931192212674704959
m003(cusp),ABABab,6,-1,-1,,-3.5000000000000000000000000000000000,-0.86602540378443864676372317075293618,11.500000000000000000000000000000000,6.0621778264910705273460621952705533,2.4188381041223773680818129182188335,0.57519303111306333211885883958893268,103.53474560035139978139459112600788/pi,3.6055512754639892931192212674704959
m003(cusp),ABAbAb,6,-3,1,,0.50000000000000000000000000000000000,-7.7942286340599478208735085367764256,-60.500000000000000000000000000000000,-7.7942286340599478208735085367764256,4.1426382673575660969443507318521808,-3.0174635585518390968519691247720067,-543.14344053933103743335444245896121/pi,7.8102496759066543941297227357591014
m003(cusp),ABAbaB,6,-1,-1,,-3.5000000000000000000000000000000000,-0.86602540378443864676372317075293618,11.500000000000000000000000000000000,6.0621778264910705273460621952705533,2.4188381041223773680818129182188335,0.57519303111306333211885883958893268,103.53474560035139978139459112600788/pi,3.6055512754639892931192212674704959
